Year,Viewership (millions)
2002,15.68
2003,9.86
2004,17.94
2005,12.54
2006,12.97
2007,9.29
2008,14.94
2009,14.35
2010,18.14
2011,17.34
2012,16.86
2013,17.70
2014,15.50
2015,19.90
2016,20.20
2017,20.40
2018,17.70
2019,15.14
2020,7.50
2021,9.91
2022,12.40
2023,11.64
2024,11.30
