Year,Viewership (millions)
2000,18.12
2001,24.31
2002,19.40
2003,20.20
2004,25.47
2005,17.21
2006,15.80
2007,17.21
2008,13.70
2009,19.33
2010,14.22
2011,16.52
2012,12.70
2013,14.90
2014,13.80
2015,14.70
2016,23.40
2017,18.90
2018,14.13
2019,13.91
2020,9.94
2021,11.75
2022,11.80
2023,9.11
